<TASKBAR1-9>Taskbar Shortcuts	<TASKBAR1-9>Phím tắt thanh tác vụ
1.5 line spacing	Giãn cách dòng 1.5
3D Layers	Layer 3D
3D Viewport	Viewport 3D
Accept all	Chấp nhận tất cả
Accept audio call	Chấp nhận cuộc gọi thoại
Accept inline suggestion	Chấp nhận gợi ý nội dòng
Accept video call	Chấp nhận cuộc gọi video
Activate	Kích hoạt
Activate a specific Clone Stamp tool preset	Kích hoạt một preset cụ thể của công cụ Clone Stamp
Activate and cycle between the Pen and Mask Feather tools. (Note: You can turn off this setting in the Preferences dialog box.)	Kích hoạt và chuyển đổi giữa công cụ Pen và Mask Feather. (Lưu ý: Có thể tắt cài đặt này trong hộp thoại Preferences.)
Activate and cycle through Brush, Clone Stamp, and Eraser tools	Kích hoạt và chuyển đổi lần lượt giữa các công cụ Brush, Clone Stamp và Eraser
Activate and cycle through Camera tools (Unified Camera, Orbit Camera, Track XY Camera, and Track Z Camera)	Kích hoạt và chuyển đổi lần lượt giữa các công cụ Camera (Unified Camera, Orbit Camera, Track XY Camera và Track Z Camera)
Activate and cycle through mask and shape tools (Rectangle, Rounded Rectangle, Ellipse, Polygon, Star)	Kích hoạt và chuyển đổi lần lượt giữa các công cụ mask và hình dạng (Rectangle, Rounded Rectangle, Ellipse, Polygon, Star)
Activate and cycle through Puppet tools	Kích hoạt và chuyển đổi lần lượt giữa các công cụ Puppet
Activate and cycle through Type tools (Horizontal and Vertical)	Kích hoạt và chuyển đổi lần lượt giữa các công cụ Type (Horizontal và Vertical)
Activate Character panel	Kích hoạt bảng Character
Activate Hand tool	Kích hoạt công cụ Hand
Activate Paragraph panel	Kích hoạt bảng Paragraph
Activate Refine Edge tool	Kích hoạt công cụ Refine Edge
Activate Roto Brush tool	Kích hoạt công cụ Roto Brush
Activate Selection tool	Kích hoạt công cụ Selection
Activate Tabs panel	Kích hoạt bảng thẻ
Activate the entry bar	Kích hoạt thanh nhập liệu
Activate the Go To command	Kích hoạt lệnh Go To
Activate the menu bar	Kích hoạt thanh menu
Activate the most recently active composition that is in the same composition hierarchy (network of nested compositions) as the currently active composition	Kích hoạt composition hoạt động gần đây nhất nằm trong cùng hệ phân cấp composition (mạng lưới các composition lồng nhau) với composition đang hoạt động
Activate Pan Behind tool	Kích hoạt công cụ Pan Behind
Activate Rotation tool	Kích hoạt công cụ Rotation
Activate Zoom In tool	Kích hoạt công cụ Zoom In
Add a composition to the Adobe Media Encoder encoding queue	Thêm composition vào hàng đợi mã hoá của Adobe Media Encoder
Add a layer	Thêm layer
Add a layer while opening the New Layer dialog box	Thêm layer đồng thời mở hộp thoại New Layer
Add a new page	Thêm trang mới
Add a virtual desktop	Thêm màn hình nền ảo
Add an emoji reaction	Thêm biểu tượng cảm xúc
Add Anchor Point tool	Công cụ Add Anchor Point
